kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	RH SABAN, MAPAR	62	1			61	61		1	61			1	61				
2	RH JIMMY LANGAN, SEBUBU	54	1	3		50	50		1	50	3		1	49	1		3	
3	RH DUAT, ASSAM MELUPA	70		1		69	68	1		68	1	1		67	1		1	1
4	RH KEDIT SIBUBU	11				11	11		1	10				11				
5	RH JACKSON AKONG, MENDAS	187	1	2		184	184		4	181	2		1	182	2		2	
6	RH TAJAK, EMPELAS KAWANG	13	1			12	12		1	12			1	12				
7	RH TEMENGGONG	43	2			41	41		1	42			2	41				
8	RH DANA EMPELAIE	72	1			71	71		4	68			1	71				
9	RH ROBERT LIN	97				97	97		2	95				96	1			
10	RH MARA, MELUPA	69	1	4		64	64			65	4		1	63	1		4	
11	RH ALFRED GANA, NG DRAU	136	2			134	134		5	131			2	134				
12	RH MAWAN, KAWIT	151	2	2		147	147		3	146	2		2	146		1	2	
13	RH MILAI, EMPLAIE	115				115	115		1	114				115				
14	RH DANIEL KAWIT BUNSI	15		1		14	14		1	13	1			14			1	
15	RH. TUKAU MELUPA	35				35	35			35				35				
16	KAKI WONG	41	1	6		34	34		2	33	6		1	34			6	
17	NG KAWIT KRIAN	13				13	13			13				13				
18	VILLAGE SHOP KAWANG	2				2	2			2				2				
19	JKR (MRCU 9) ULU KRIAN CAMP	14	3	1		10	10		2	11	1		3	10			1	
20	RH NAING SG MELAK KRIAN	60		3		57	57			57	3			57			3	
21	RH UNTAN TANJUNG SIKOP, MELUPA	68				68	68			68				67		1		
22	RH INTAI AK SABAN	8				8	8		1	7				8				
23	RH JOSEPHINE ENTIRA	8		1		7	7			7	1			7			1	
