kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN PJS 2/3	181	180	1		0			180		1		180				1	
2	JLN PJS 2C/12	150	144	1	3	2	1	1	144	1	1	4	144		1		1	4
3	JLN PJS 2C/13	86	82		4	0			82			4	82					4
4	JLN PJS 2C/14	288	281		2	5	1	4	282			6	281					7
5	JLN PJS 2C/15	104	96		5	3		3	96			8	96					8
6	JLN PJS 2C/15D	4	4			0			4				4					
7	JLN PJS 2C/16	131	131			0			131				131					
8	JLN PJS 2C/16A	100	94		6	0			94			6	94					6
9	JLN PJS 2C/16B	84	80		4	0			80			4	80					4
10	JLN PJS 2C/16C	92	90			2		2	90			2	90					2
11	JLN PJS 2C/17	82	80		2	0			80			2	80					2
12	JLN PJS 2C/18	130	120		9	1		1	119	1		10	120					10
13	JLN PJS 2C/19	48	48			0			48				48					
14	JLN PJS 2C/20	77	76		1	0			76			1	76					1
15	JLN PJS 2C/21	150	135		13	2		2	135			15	135					15
16	JLN PJS 2C/22	89	84		1	4		4	83	1		5	84					5
17	JLN PJS 2C/23	1			1	0						1						1
18	JLN PJS 2C/27	1			1	0						1						1
19	JLN PJS 2C/28	135	130	1	3	1		1	129	1	1	4	130				1	4
20	JLN PJS 2C/28A	110	58		46	6	2	4	60			50	58					52
22	LRG MEDAN	3	2	1		0			2		1		2				1	
23	LRG 1 KG MEDAN	39	39			0			39				39					
24	LRG 2 KG MEDAN	13	13			0			13				13					
25	LRG 3 KG MEDAN	56	51		4	1		1	51			5	51					5
26	LRG 4 KG MEDAN	12	12			0			12				12					
27	LRG 4B KG MEDAN	12	12			0			12				12					
28	LRG 5 KG MEDAN	19	18		1	0			18			1	18					1
29	LRG 6 KG MEDAN	9	9			0			9				9					
30	LRG 7 KG MEDAN	8	7		1	0			7			1	7					1
31	LRG 8 KG MEDAN	20	20			0			20				20					
32	LRG 9 KG MEDAN	7	7			0			7				7					
33	LRG 10 KG MEDAN	5	3	1	1	0			2	1	1	1	3				1	1
34	LRG 11 KG MEDAN	20	20			0			20				20					
35	LRG 12 KG MEDAN	21	21			0			21				21					
36	LRG 13 KG MEDAN	3	2	1		0			2		1		2				1	
37	LRG 14 KG MEDAN	5	2		3	0			2			3	2					3
38	LRG 15 KG MEDAN	56	48	1	6	1		1	48		1	7	48				1	7
39	LRG 16 KG MEDAN	9	9			0			9				9					
40	LRG 17 KG MEDAN	65	63	1	1	0			63		1	1	63				1	1
41	LRG 18 KG MEDAN	14	9		5	0			9			5	9					5
42	JLN PJS 2C/9	198	187		6	5		5	187			11	187					11
801	PENGUNDI TIDAK HADIR	1	1			0			1				1					
